Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
2880000	-15.05	-14.37	5606	0.0577	7.65e-05
2890000	-14.93	-14.37	5621	0.057475000000000005	7.6375e-05
2900000	-14.72	-14.37	5637	0.05725	7.625000000000001e-05
2910000	-14.87	-14.37	5653	0.057025	7.612500000000001e-05
2920000	-14.93	-14.37	5670	0.0568	7.6e-05
2930000	-14.93	-14.37	5686	0.056575	7.5875e-05
2940000	-14.82	-14.37	5703	0.056350000000000004	7.575e-05
2950000	-14.76	-14.37	5719	0.056125	7.562500000000001e-05
2960000	-14.94	-14.37	5735	0.0559	7.55e-05
2970000	-14.72	-14.37	5750	0.055675	7.5375e-05
2980000	-14.68	-14.37	5766	0.05545	7.525e-05
2990000	-14.53	-14.37	5780	0.055225	7.5125e-05
3000000	-14.46	-14.37	5797	0.055	7.500000000000001e-05
3010000	-14.44	-14.35	5813	0.054775000000000004	7.4875e-05
3020000	-14.39	-14.34	5828	0.05455	7.475e-05
3030000	-14.61	-14.24	5845	0.054325000000000005	7.462500000000001e-05
3040000	-14.46	-14.24	5860	0.0541	7.45e-05
3050000	-14.65	-14.24	5877	0.053875000000000006	7.4375e-05
3060000	-14.84	-14.24	5894	0.053649999999999996	7.425e-05
3070000	-14.89	-14.24	5910	0.053425	7.4125e-05
3080000	-14.86	-14.24	5926	0.0532	7.400000000000001e-05
3090000	-14.93	-14.24	5942	0.052975	7.3875e-05
3100000	-14.72	-14.24	5957	0.05275	7.375e-05
3110000	-14.69	-14.24	5973	0.052525	7.3625e-05
3120000	-14.63	-14.24	5988	0.0523	7.35e-05
3130000	-14.61	-14.24	6005	0.052075	7.337500000000001e-05
3140000	-14.68	-14.24	6022	0.05185	7.325e-05
3150000	-14.73	-14.24	6039	0.051625000000000004	7.3125e-05
3160000	-14.83	-14.24	6055	0.051399999999999994	7.3e-05
3170000	-15.02	-14.24	6072	0.051175	7.2875e-05
3180000	-15.05	-14.24	6088	0.050949999999999995	7.275e-05
3190000	-14.89	-14.24	6104	0.050725	7.2625e-05
3200000	-14.96	-14.24	6120	0.050499999999999996	7.25e-05
3210000	-14.92	-14.24	6136	0.050275	7.237500000000001e-05
3220000	-15.04	-14.24	6153	0.05005	7.225e-05
3230000	-14.89	-14.24	6169	0.049825	7.2125e-05
3240000	-14.69	-14.24	6184	0.0496	7.2e-05
3250000	-15.0	-14.24	6200	0.049375	7.1875e-05
3260000	-14.91	-14.24	6215	0.049150000000000006	7.175000000000001e-05
3270000	-14.83	-14.24	6231	0.048924999999999996	7.1625e-05
3280000	-14.47	-14.24	6245	0.04870000000000001	7.15e-05
3290000	-14.5	-14.24	6261	0.048475	7.1375e-05
3300000	-14.61	-14.24	6276	0.04825	7.125000000000001e-05
3310000	-14.78	-14.24	6294	0.048025	7.112500000000001e-05
3320000	-14.92	-14.24	6312	0.0478	7.1e-05
3330000	-15.08	-14.24	6328	0.047575	7.0875e-05
3340000	-15.21	-14.24	6344	0.04735	7.075000000000001e-05
3350000	-15.23	-14.24	6361	0.047125	7.0625e-05
3360000	-15.37	-14.24	6377	0.046900000000000004	7.05e-05
3370000	-15.03	-14.24	6392	0.046674999999999994	7.0375e-05
3380000	-14.86	-14.24	6409	0.04645	7.025e-05
3390000	-14.74	-14.24	6424	0.046224999999999995	7.0125e-05
3400000	-14.56	-14.24	6440	0.046	7.000000000000001e-05
3410000	-14.93	-14.24	6456	0.045774999999999996	6.9875e-05
3420000	-14.77	-14.24	6471	0.04555	6.975e-05
3430000	-14.92	-14.24	6487	0.045325	6.9625e-05
3440000	-14.73	-14.24	6503	0.0451	6.950000000000001e-05
3450000	-14.8	-14.24	6518	0.044875	6.937499999999999e-05
3460000	-14.91	-14.24	6535	0.04465	6.925e-05
3470000	-14.78	-14.24	6551	0.04442499999999999	6.9125e-05
3480000	-14.38	-14.24	6565	0.044199999999999996	6.9e-05
3490000	-14.43	-14.24	6581	0.04397499999999999	6.887500000000001e-05
3500000	-14.39	-14.24	6597	0.04375	6.875e-05
3510000	-14.38	-14.24	6612	0.043525	6.8625e-05
3520000	-14.57	-14.24	6628	0.0433	6.850000000000001e-05
3530000	-14.5	-14.24	6644	0.043075	6.837500000000001e-05
3540000	-14.81	-14.24	6661	0.04285	6.825e-05
3550000	-14.89	-14.24	6676	0.042625	6.8125e-05
3560000	-14.72	-14.24	6691	0.0424	6.8e-05
3570000	-14.55	-14.24	6706	0.042175000000000004	6.787500000000001e-05
3580000	-14.49	-14.24	6722	0.041949999999999994	6.775e-05
3590000	-14.5	-14.24	6736	0.041725000000000005	6.7625e-05
3600000	-14.67	-14.24	6753	0.041499999999999995	6.75e-05
3610000	-14.57	-14.24	6768	0.041275	6.7375e-05
3620000	-14.51	-14.24	6783	0.041049999999999996	6.725000000000001e-05
3630000	-14.72	-14.24	6799	0.040825	6.7125e-05
3640000	-14.74	-14.24	6815	0.0406	6.7e-05
3650000	-14.74	-14.24	6831	0.040375	6.687500000000001e-05
3660000	-14.63	-14.24	6846	0.04015	6.675e-05
3670000	-14.64	-14.24	6861	0.039925	6.6625e-05
3680000	-14.66	-14.24	6876	0.03969999999999999	6.65e-05
3690000	-14.61	-14.24	6892	0.039474999999999996	6.6375e-05
3700000	-14.67	-14.24	6908	0.03924999999999999	6.625e-05
3710000	-14.39	-14.24	6923	0.039025	6.6125e-05
3720000	-14.58	-14.24	6939	0.038799999999999994	6.6e-05
3730000	-14.83	-14.24	6956	0.038575	6.5875e-05
3740000	-14.81	-14.24	6971	0.038349999999999995	6.575e-05
3750000	-15.07	-14.24	6987	0.038125	6.562500000000001e-05
3760000	-14.9	-14.24	7003	0.0379	6.55e-05
3770000	-14.93	-14.24	7018	0.037675	6.5375e-05
3780000	-14.95	-14.24	7032	0.03745	6.525000000000001e-05
3790000	-14.53	-14.24	7046	0.037224999999999994	6.5125e-05
3800000	-14.34	-14.24	7062	0.037000000000000005	6.500000000000001e-05
3810000	-14.29	-14.24	7078	0.036775	6.4875e-05
3820000	-14.32	-14.24	7093	0.03655	6.475e-05
3830000	-14.3	-14.15	7108	0.036324999999999996	6.462500000000001e-05
3840000	-14.45	-14.15	7124	0.03610000000000001	6.45e-05
3850000	-14.79	-14.15	7140	0.03587499999999999	6.4375e-05
3860000	-14.63	-14.15	7154	0.03565	6.425e-05
3870000	-14.76	-14.15	7170	0.035425	6.4125e-05
3880000	-14.68	-14.15	7185	0.035199999999999995	6.400000000000001e-05
3890000	-14.75	-14.15	7201	0.03497499999999999	6.3875e-05
3900000	-14.69	-14.15	7216	0.03475	6.375e-05
3910000	-14.57	-14.15	7232	0.034525	6.3625e-05
3920000	-14.31	-14.15	7246	0.0343	6.35e-05
3930000	-14.47	-14.15	7261	0.034074999999999994	6.337500000000001e-05
3940000	-14.4	-14.15	7276	0.033850000000000005	6.325e-05
3950000	-14.49	-14.15	7292	0.03362499999999999	6.3125e-05
3960000	-14.29	-14.15	7307	0.0334	6.300000000000001e-05
3970000	-14.25	-14.08	7322	0.033174999999999996	6.2875e-05
3980000	-14.12	-14.08	7337	0.03294999999999999	6.275000000000001e-05
3990000	-13.93	-13.93	7351	0.03272499999999999	6.262499999999999e-05
4000000	-14.05	-13.78	7366	0.0325	6.25e-05
4010000	-14.17	-13.78	7380	0.032275	6.237500000000001e-05
4020000	-14.12	-13.78	7395	0.032049999999999995	6.225e-05
4030000	-14.21	-13.78	7410	0.031825000000000006	6.2125e-05
4040000	-14.37	-13.78	7427	0.0316	6.2e-05
4050000	-14.65	-13.78	7443	0.031375	6.1875e-05
4060000	-14.98	-13.78	7459	0.031149999999999997	6.175000000000001e-05
4070000	-15.05	-13.78	7475	0.030924999999999994	6.162500000000001e-05
4080000	-15.05	-13.78	7490	0.03069999999999999	6.15e-05
4090000	-15.05	-13.78	7506	0.030475000000000002	6.137500000000001e-05
4100000	-14.95	-13.78	7521	0.03025	6.125e-05
4110000	-15.09	-13.78	7538	0.030024999999999996	6.112500000000001e-05
4120000	-14.78	-13.78	7552	0.029799999999999993	6.1e-05
4130000	-14.59	-13.78	7566	0.029575000000000004	6.0875e-05
4140000	-14.47	-13.78	7581	0.02935	6.075e-05
4150000	-14.54	-13.78	7596	0.029124999999999998	6.0625e-05
4160000	-14.62	-13.78	7612	0.028899999999999995	6.05e-05
4170000	-14.72	-13.78	7627	0.028674999999999992	6.0375000000000004e-05
4180000	-14.65	-13.78	7642	0.02844999999999999	6.025e-05
4190000	-14.51	-13.78	7656	0.028225	6.0125000000000005e-05
4200000	-14.42	-13.78	7671	0.027999999999999997	6e-05
4210000	-14.65	-13.78	7686	0.027774999999999994	5.9875000000000005e-05
4220000	-14.51	-13.78	7700	0.02754999999999999	5.975e-05
4230000	-14.27	-13.78	7715	0.027325000000000002	5.9625000000000006e-05
4240000	-14.21	-13.78	7730	0.0271	5.95e-05
4250000	-14.59	-13.78	7747	0.026874999999999996	5.9375e-05
4260000	-14.42	-13.78	7761	0.026650000000000007	5.9250000000000004e-05
4270000	-14.59	-13.78	7777	0.02642499999999999	5.9125e-05
4280000	-14.58	-13.78	7791	0.0262	5.9000000000000004e-05
